
轮播,#genre#

鬼片, http://mmitv.top/pltv/yy.php?id=1353059120

沈腾,http://txtest-xp2p.p2p.huya.com/src/1524418085-1524418085-6547325820505948160-3048959626-10057-A-0-1.xs
成龙,http://txtest-xp2p.p2p.huya.com/src/1394565191-1394565191-5989611887484993536-2789253838-10057-A-0-1.xs
成龙作品集,http://112.74.200.9:88/tv000000/m3u8.php?/migu/707671890
盗墓,http://112.74.200.9:88/tv000000/m3u8.php?/migu/625525181
盗墓笔记,http://112.74.200.9:88/tv000000/m3u8.php?/migu/625681367
动作大片,http://txtest-xp2p.p2p.huya.com/src/1524439840-1524439840-6547419257519472640-3049003136-10057-A-0-1.xs
高分影院,http://112.74.200.9:88/tv000000/m3u8.php?/migu/627198191
高能烧脑时刻,http://112.74.200.9:88/tv000000/m3u8.php?/migu/625542365
高清大片,http://112.74.200.9:88/tv000000/m3u8.php?/migu/629943678
古龙作品集,http://112.74.200.9:88/tv000000/m3u8.php?/migu/639528313
古墓系列,http://txtest-xp2p.p2p.huya.com/src/1423782085-1423782085-6115097491705692160-2847687626-10057-A-0-1.xs
古天乐影院,http://112.74.200.9:88/tv000000/m3u8.php?/migu/627198610
古装武侠,http://txtest-xp2p.p2p.huya.com/src/1394575562-1394575562-5989656430590820352-2789274580-10057-A-0-1.xs
郭富城影院,http://112.74.200.9:88/tv000000/m3u8.php?/migu/639528330
黑帮系列,http://txtest-xp2p.p2p.huya.com/src/1388472589-1388472589-5963444361147449344-2777068634-10057-A-0-1.xs
红色谍战剧场,http://112.74.200.9:88/tv000000/m3u8.php?/migu/634274665
洪金宝,http://txtest-xp2p.p2p.huya.com/src/73821423-73821423-317060597529182208-2710090468-10057-A-0-1.xs
怀旧老片,http://112.74.200.9:88/tv000000/m3u8.php?/migu/621640582
黄渤,http://txtest-xp2p.p2p.huya.com/src/1449698962-1449698962-6226409630835146752-2789274564-10057-A-0-1.xs
黄金剧场,http://112.74.200.9:88/tv000000/m3u8.php?/migu/625155140
僵尸剧场,http://112.74.200.9:88/tv000000/m3u8.php?/migu/627033504
金马影院,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
金庸频道,http://112.74.200.9:88/tv000000/m3u8.php?/migu/625774640
金庸武侠系列,http://txtest-xp2p.p2p.huya.com/src/1394575551-1394575551-5989656383346180096-2789274558-10057-A-0-1.xs
经典贺岁片,http://112.74.200.9:88/tv000000/m3u8.php?/migu/625774662
经典影视速看,http://112.74.200.9:88/tv000000/m3u8.php?/migu/627198751
警匪系列,http://txtest-xp2p.p2p.huya.com/src/1449581589-1449581589-6225905517638713344-3048959636-10057-A-0-1.xs
军旅剧场,http://112.74.200.9:88/tv000000/m3u8.php?/migu/625643517
李连杰,http://txtest-xp2p.p2p.huya.com/src/1394565196-1394565196-5989611908959830016-2789253848-10057-A-0-1.xs
林正英,http://txtest-xp2p.p2p.huya.com/src/1394575543-1394575543-5989656348986441728-2789274542-10057-A-0-1.xs
刘德华,http://txtest-xp2p.p2p.huya.com/src/1394575547-1394575547-5989656366166310912-2789274550-10057-A-0-1.xs
刘德华影院,http://112.74.200.9:88/tv000000/m3u8.php?/migu/659315648
刘家辉,http://txtest-xp2p.p2p.huya.com/src/1449584124-1449584124-6225916405380808704-2847687586-10057-A-0-1.xs
刘亦菲影视展播,http://112.74.200.9:88/tv000000/m3u8.php?/migu/639528386
每日科幻电影,http://112.74.200.9:88/tv000000/m3u8.php?/migu/625204865
咪咕暑期剧场,http://112.74.200.9:88/tv000000/m3u8.php?/migu/627198692
